MUNICIPIO,LOCALIDAD, HABITANTES ,LATITUD,LONGITUD,
La Concordia,El ¡mbar (El ¡mbar de EcheverrÌa),2592,16.09554,-92.83687,
Churintzio,Churintzio,2592,20.14848,-102.06682,
Jilotepec,Las Manzanas,2593,19.949167,-99.558055,
Santiago Ixcuintla,Sentispac,2594,21.80449,-105.34653,
Playa Vicente,El Nigromante,2594,17.76462,-95.75828,
TarÌmbaro,UruÈtaro,2596,19.79113,-101.08754,
Cuautitl·n de GarcÌa Barrag·n,Cuautitl·n de GarcÌa Barrag·n,2597,19.45283,-104.35916,
Zapotiltic,El RincÛn,2598,19.66642,-103.40346,
Loreto,San Marcos,2598,22.27699,-101.9506,
Teoloyucan,Colonia Santo Tom·s,2599,19.773889,-99.165556,
C·rdenas,Ingenio Presidente Benito Ju·rez,2599,18.00465,-93.58396,
Yauhquemehcan,Hualcaltzinco,2599,19.400551,-98.160058,
Nextlalpan,Prados San Francisco,2600,19.723333,-99.086944,
Jiquipilas,Tierra y Libertad,2600,16.37718,-93.86082,
Teocaltiche,Mechoacanejo,2600,21.53932,-102.59576,
La Trinitaria,JosÈ MarÌa Morelos,2601,16.04105,-91.83465,
Ajuchitl·n del Progreso,Villa Nicol·s Bravo,2601,18.21583,-100.55105,
Uc˙,Uc˙,2601,21.03127,-89.74648,
Chapultepec,Unidad Habitacional Santa Teresa,2602,19.2135,-99.55224,
Tzimol,San Vicente la Mesilla,2604,16.17861,-92.29333,
Temoaya,Fraccionamiento Rinconada del Valle,2604,19.4111,-99.5742,
Pedro Escobedo,La Venta de Ajuchitlancito,2604,20.4875,-100.186944,
Celaya,La Aurora,2605,20.6264,-100.75785,
Coxcatl·n,Coxcatl·n,2605,21.53867,-98.91281,
Villa Gonz·lez Ortega,Estancia de ¡nimas,2605,22.48656,-101.99433,
Yecapixtla,Xochitl·n,2606,18.881958,-98.819405,
Texcoco,San Pablo Ixayoc,2608,19.471389,-98.793889,
Apatzing·n,Cenobio Moreno (Las Colonias),2609,19.096667,-102.503889,
Pueblo Nuevo,La Ciudad,2609,23.73374,-105.68249,
Ahome,Cohuibampo,2609,25.94174,-109.16007,
Metapa,Metapa de DomÌnguez,2610,14.83598,-92.19101,
Cochoapa El Grande,Cochoapa el Grande,2610,17.19416,-98.45805,
Angostura,Leopoldo S·nchez Celis (El Gato de Lara),2612,25.124167,-108.013611,
Teolocholco,El Carmen Aztama,2612,19.23134,-98.21836,
Cuitzeo,San Juan Benito Ju·rez (San Juan Tararameo),2613,19.916944,-101.128611,
Calpulalpan,Santiago Cuaula,2614,19.601629,-98.649045,
Matamoros,Mariano Matamoros,2615,26.76381,-105.58539,
